x(m/s),y(m/s),z(m/s),t(s)
0.184345603,9.846927643,-1.010309696,0.265190104
0.1340695322,9.856505394,-1.015097857,0.267570729
0.09097574651,9.873263359,-1.015097857,0.269951354
0.06224656478,9.875657082,-1.019886017,0.272332708
0.0406996794,9.873263359,-1.007915616,0.274714114
0.03112328239,9.878050804,-0.9983391762,0.277094687
0.04788197577,9.86847496,-1.010309696,0.279475312
0.08379345387,9.851716042,-0.9863687158,0.281856718
0.1197049394,9.842140198,-0.9672158957,0.284238125
0.1604046077,9.82059288,-0.9624276757,0.286618698
0.2154688835,9.801440239,-0.9408808351,0.288999323
0.2633508742,9.794258118,-0.9265161753,0.291380677
0.2968682647,9.779892921,-0.9265161753,0.293762083
0.3375679255,9.767923355,-0.9313044548,0.296142708
0.3734793961,9.763134956,-0.9360926151,0.298523333
0.3902381063,9.765528679,-0.9336984754,0.300904687
0.3926321864,9.777499199,-0.9265161753,0.303285832
0.3782675862,9.770317078,-0.928910315,0.305666405
0.3591148257,9.765528679,-0.9528512955,0.30804703
0.3351738155,9.775105476,-0.9815804958,0.310428437
0.3112328351,9.791864395,-1.005521536,0.312809843
0.2848977447,9.799045563,-1.005521536,0.315190416
0.2346216738,9.806227684,-0.9863687158,0.317571041
0.1915279031,9.825381279,-0.9743981957,0.319952395
0.1651928127,9.846927643,-0.972004056,0.322333801
0.1412518322,9.858899117,-0.9743981957,0.324714426
0.1340695322,9.866081238,-0.9767923355,0.327095833
0.129281342,9.866081238,-0.9983391762,0.329477187
0.1316754371,9.878050804,-1.017491937,0.331858594
0.1556164175,9.885233879,-1.019886017,0.334239219
0.184345603,9.875657082,-1.036644697,0.336619844
0.1939219981,9.873263359,-1.055797458,0.339001198
0.2154688835,9.866081238,-1.043827057,0.341382604
0.2394098788,9.84453392,-1.029462457,0.343763177
0.2465921789,9.837351799,-1.017491937,0.346143073
0.2561685741,9.854109764,-0.9935510159,0.348524479
0.2705331445,9.849322319,-0.9743981957,0.350905885
0.2801095545,9.818199158,-0.9624276757,0.353286458
0.2753213346,9.791864395,-0.9696099758,0.355667083
0.2633508742,9.770317078,-0.9791863561,0.358048438
0.2346216738,9.758345604,-0.9815804958,0.360429844
0.2058925033,9.758345604,-0.9696099758,0.362810469
0.1891337931,9.765528679,-0.9624276757,0.365191094
0.181951493,9.787075996,-0.9863687158,0.367572448
0.1723751128,9.806227684,-1.003127337,0.369953854
0.1412518322,9.808623314,-1.012703776,0.372334479
0.1101285368,9.827775002,-1.024674296,0.374715104
0.1149167418,9.839746475,-1.043827057,0.377096458
0.1101285368,9.842140198,-1.053403497,0.379477865
0.08379345387,9.858899117,-1.053403497,0.381858438
0.06703476608,9.873263359,-1.053403497,0.384238802
0.05506426841,9.854109764,-1.039038897,0.386620208
0.0406996794,9.84453392,-1.029462457,0.389001562
0.03112328239,9.851716042,-1.029462457,0.391382187
0.0406996794,9.854109764,-1.003127337,0.393763906
0.0406996794,9.851716042,-0.9696099758,0.39614526
0.05745837092,9.842140198,-0.9528512955,0.398526666
0.06464067101,9.834958076,-0.9432749152,0.400907291
0.06224656478,9.825381279,-0.9504572153,0.403287916
0.0885816589,9.815805435,-0.9384866953,0.405669271
0.1077344418,9.811017036,-0.9265161753,0.408050677
0.129281342,9.806227684,-0.9480631351,0.410431302
0.1580105126,9.799045563,-0.972004056,0.412811927
0.181951493,9.791864395,-0.983974576,0.415193281
0.2130747885,9.791864395,-1.000733256,0.417574687
0.2441980839,9.79665184,-1.015097857,0.41995526
0.251380384,9.799045563,-1.017491937,0.422335885
0.2489862591,9.818199158,-1.022280216,0.424716405
0.2418039739,9.830168724,-1.027068377,0.427097812
0.2202570736,9.832564354,-1.029462457,0.429478437
0.2106806934,9.84453392,-1.029462457,0.431859062
0.1987102032,9.84453392,-1.031856537,0.434240416
0.1771633178,9.842140198,-1.017491937,0.436621822
0.1627987176,9.830168724,-0.9959450364,0.439002447
0.1651928127,9.82059288,-0.9767923355,0.441383072
0.1604046077,9.827775002,-0.9600335956,0.443764426
0.1627987176,9.82059288,-0.9648218155,0.446145832
0.1795574129,9.813410759,-0.9552453756,0.448526457
0.1963160932,9.818199158,-0.9600335956,0.450907082
0.2298334837,9.813410759,-0.9791863561,0.453288437
0.2537744641,9.815805435,-0.9696099758,0.455669843
0.2537744641,9.832564354,-0.9648218155,0.458050625
0.2537744641,9.837351799,-0.9624276757,0.46043125
0.2609567642,9.825381279,-0.9672158957,0.462812604
0.2657449543,9.813410759,-0.9767923355,0.465193958
0.2705331445,9.825381279,-0.9863687158,0.467574583
0.2848977447,9.827775002,-0.9983391762,0.469955208
0.2825036645,9.818199158,-0.9935510159,0.472336562
0.2633508742,9.806227684,-0.9791863561,0.474718229
0.251380384,9.799045563,-0.9576395154,0.477098854
0.2585626841,9.799045563,-0.9432749152,0.479479479
0.2489862591,9.803833961,-0.9265161753,0.481860833
0.2370157838,9.815805435,-0.9073634148,0.484242239
0.2441980839,9.811017036,-0.9073634148,0.486622812
0.2370157838,9.801440239,-0.9025752544,0.489003437
0.2298334837,9.799045563,-0.9073634148,0.491384843
0.251380384,9.806227684,-0.9265161753,0.493766249
0.2705331445,9.815805435,-0.928910315,0.496146822
0.2705331445,9.806227684,-0.9097574949,0.498527447
0.2657449543,9.808623314,-0.9145457745,0.500908801
0.2633508742,9.827775002,-0.9384866953,0.503290417
0.2633508742,9.834958076,-0.9313044548,0.505671042
