"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.009023430E-1,2.106806934E-1,9.751164436E0,-9.313044548E-1
2.032829680E-1,2.298334837E-1,9.746376038E0,-8.953929543E-1
2.056643220E-1,2.465921789E-1,9.751164436E0,-9.145457745E-1
2.080460940E-1,2.418039739E-1,9.782286644E0,-9.193339348E-1
2.104270830E-1,2.226511836E-1,9.796651840E0,-8.882106543E-1
2.128081250E-1,2.058925033E-1,9.801440239E0,-9.145457745E-1
2.151889580E-1,1.795574129E-1,9.827775002E0,-9.504572153E-1
2.175699480E-1,1.436459273E-1,9.827775002E0,-9.743981957E-1
2.199505210E-1,1.053403467E-1,9.820592880E0,-1.027068377E0
2.223311460E-1,5.985246971E-2,9.846927643E0,-1.074950337E0
2.247125000E-1,2.633508667E-2,9.878050804E0,-1.079738498E0
2.270939060E-1,-4.788197111E-3,9.899598122E0,-1.077344418E0
2.294745310E-1,-2.872918546E-2,9.918750763E0,-1.082132578E0
2.318551560E-1,-2.394098788E-2,9.913963318E0,-1.070162177E0
2.342365100E-1,-1.197049394E-2,9.894809723E0,-1.043827057E0
2.366179170E-1,2.394098556E-3,9.873263359E0,-1.017491937E0
2.389985420E-1,3.830557689E-2,9.854109764E0,-9.600335956E-1
2.413791670E-1,8.858165890E-2,9.825381279E0,-8.834224343E-1
2.437605210E-1,1.412518322E-1,9.794258118E0,-8.355404139E-1
2.461419270E-1,1.867396981E-1,9.770317078E0,-7.972348928E-1
2.485225000E-1,2.250452787E-1,9.751164436E0,-7.948408127E-1
2.509031250E-1,2.561685741E-1,9.739193916E0,-8.235700130E-1
2.532844790E-1,2.848977447E-1,9.758345604E0,-8.570873737E-1
2.556658850E-1,3.064446151E-1,9.787075996E0,-8.977869749E-1
2.580465100E-1,3.040505350E-1,9.794258118E0,-9.265161753E-1
2.604271350E-1,2.753213346E-1,9.803833961E0,-9.528512955E-1
2.628086980E-1,2.346216738E-1,9.830168724E0,-9.911568761E-1
2.651901040E-1,1.843456030E-1,9.846927643E0,-1.010309696E0
2.675707290E-1,1.340695322E-1,9.856505394E0,-1.015097857E0
2.699513540E-1,9.097574651E-2,9.873263359E0,-1.015097857E0
2.723327080E-1,6.224656478E-2,9.875657082E0,-1.019886017E0
2.747141140E-1,4.069967940E-2,9.873263359E0,-1.007915616E0
2.770946870E-1,3.112328239E-2,9.878050804E0,-9.983391762E-1
2.794753120E-1,4.788197577E-2,9.868474960E0,-1.010309696E0
2.818567180E-1,8.379345387E-2,9.851716042E0,-9.863687158E-1
2.842381250E-1,1.197049394E-1,9.842140198E0,-9.672158957E-1
2.866186980E-1,1.604046077E-1,9.820592880E0,-9.624276757E-1
2.889993230E-1,2.154688835E-1,9.801440239E0,-9.408808351E-1
2.913806770E-1,2.633508742E-1,9.794258118E0,-9.265161753E-1
2.937620830E-1,2.968682647E-1,9.779892921E0,-9.265161753E-1
2.961427080E-1,3.375679255E-1,9.767923355E0,-9.313044548E-1
2.985233330E-1,3.734793961E-1,9.763134956E0,-9.360926151E-1
3.009046870E-1,3.902381063E-1,9.765528679E0,-9.336984754E-1
3.032858320E-1,3.926321864E-1,9.777499199E0,-9.265161753E-1
3.056664050E-1,3.782675862E-1,9.770317078E0,-9.289103150E-1
3.080470300E-1,3.591148257E-1,9.765528679E0,-9.528512955E-1
3.104284370E-1,3.351738155E-1,9.775105476E0,-9.815804958E-1
3.128098430E-1,3.112328351E-1,9.791864395E0,-1.005521536E0
3.151904160E-1,2.848977447E-1,9.799045563E0,-1.005521536E0
3.175710410E-1,2.346216738E-1,9.806227684E0,-9.863687158E-1
3.199523950E-1,1.915279031E-1,9.825381279E0,-9.743981957E-1
3.223338010E-1,1.651928127E-1,9.846927643E0,-9.720040560E-1
3.247144260E-1,1.412518322E-1,9.858899117E0,-9.743981957E-1
3.270958330E-1,1.340695322E-1,9.866081238E0,-9.767923355E-1
3.294771870E-1,1.292813420E-1,9.866081238E0,-9.983391762E-1
3.318585940E-1,1.316754371E-1,9.878050804E0,-1.017491937E0
3.342392190E-1,1.556164175E-1,9.885233879E0,-1.019886017E0
3.366198440E-1,1.843456030E-1,9.875657082E0,-1.036644697E0
3.390011980E-1,1.939219981E-1,9.873263359E0,-1.055797458E0
3.413826040E-1,2.154688835E-1,9.866081238E0,-1.043827057E0
3.437631770E-1,2.394098788E-1,9.844533920E0,-1.029462457E0
3.461430730E-1,2.465921789E-1,9.837351799E0,-1.017491937E0
3.485244790E-1,2.561685741E-1,9.854109764E0,-9.935510159E-1
3.509058850E-1,2.705331445E-1,9.849322319E0,-9.743981957E-1
3.532864580E-1,2.801095545E-1,9.818199158E0,-9.624276757E-1
3.556670830E-1,2.753213346E-1,9.791864395E0,-9.696099758E-1
3.580484380E-1,2.633508742E-1,9.770317078E0,-9.791863561E-1
3.604298440E-1,2.346216738E-1,9.758345604E0,-9.815804958E-1
3.628104690E-1,2.058925033E-1,9.758345604E0,-9.696099758E-1
3.651910940E-1,1.891337931E-1,9.765528679E0,-9.624276757E-1
3.675724480E-1,1.819514930E-1,9.787075996E0,-9.863687158E-1
3.699538540E-1,1.723751128E-1,9.806227684E0,-1.003127337E0
3.723344790E-1,1.412518322E-1,9.808623314E0,-1.012703776E0
3.747151040E-1,1.101285368E-1,9.827775002E0,-1.024674296E0
3.770964580E-1,1.149167418E-1,9.839746475E0,-1.043827057E0
3.794778650E-1,1.101285368E-1,9.842140198E0,-1.053403497E0
3.818584380E-1,8.379345387E-2,9.858899117E0,-1.053403497E0
3.842388020E-1,6.703476608E-2,9.873263359E0,-1.053403497E0
3.866202080E-1,5.506426841E-2,9.854109764E0,-1.039038897E0
3.890015620E-1,4.069967940E-2,9.844533920E0,-1.029462457E0
3.913821870E-1,3.112328239E-2,9.851716042E0,-1.029462457E0
3.937639060E-1,4.069967940E-2,9.854109764E0,-1.003127337E0
3.961452600E-1,4.069967940E-2,9.851716042E0,-9.696099758E-1
3.985266660E-1,5.745837092E-2,9.842140198E0,-9.528512955E-1
4.009072910E-1,6.464067101E-2,9.834958076E0,-9.432749152E-1
4.032879160E-1,6.224656478E-2,9.825381279E0,-9.504572153E-1
4.056692710E-1,8.858165890E-2,9.815805435E0,-9.384866953E-1
4.080506770E-1,1.077344418E-1,9.811017036E0,-9.265161753E-1
4.104313020E-1,1.292813420E-1,9.806227684E0,-9.480631351E-1
4.128119270E-1,1.580105126E-1,9.799045563E0,-9.720040560E-1
