sust_speed,acc_sd,0.0~0.5Hz,0.5~1.0Hz,1.0~1.5Hz,1.5~2.0Hz,2.0~2.5Hz,2.5~3.0Hz,3.0~3.5Hz,3.5~4.0Hz,4.0~4.5Hz,4.5~5.0Hz,5.0~5.5Hz,5.5~6.0Hz,6.0~6.5Hz,6.5~7.0Hz,7.0~7.5Hz,7.5~8.0Hz,8.0~8.5Hz,8.5~9.0Hz,9.0~9.5Hz,9.5~10.0Hz,10.0~10.5Hz,10.5~11.0Hz,11.0~11.5Hz,11.5~12.0Hz,12.0~12.5Hz,12.5~13.0Hz,13.0~13.5Hz,13.5~14.0Hz,14.0~14.5Hz,14.5~15.0Hz,15.0~15.5Hz,15.5~16.0Hz,16.0~16.5Hz,16.5~17.0Hz,17.0~17.5Hz,17.5~18.0Hz,18.0~18.5Hz,18.5~19.0Hz,19.0~19.5Hz,19.5~20.0Hz,20.0~20.5Hz,20.5~21.0Hz,21.0~21.5Hz,21.5~22.0Hz,22.0~22.5Hz,22.5~23.0Hz,23.0~23.5Hz,23.5~24.0Hz,24.0~24.5Hz,24.5~25.0Hz,25.0~25.5Hz,25.5~26.0Hz,26.0~26.5Hz,26.5~27.0Hz,27.0~27.5Hz,27.5~28.0Hz,28.0~28.5Hz,28.5~29.0Hz,29.0~29.5Hz,29.5~30.0Hz,30.0~30.5Hz,30.5~31.0Hz,31.0~31.5Hz,31.5~32.0Hz,32.0~32.5Hz,32.5~33.0Hz,33.0~33.5Hz,33.5~34.0Hz,34.0~34.5Hz,34.5~35.0Hz,35.0~35.5Hz,35.5~36.0Hz,36.0~36.5Hz,36.5~37.0Hz,37.0~37.5Hz,37.5~38.0Hz,38.0~38.5Hz,38.5~39.0Hz,39.0~39.5Hz,39.5~40.0Hz,air_pressure
21.5,5.685614395437727,0.019888394686261187,0.016582451940548595,0.02553055196464995,0.020591944675981133,0.027350864739222984,0.0426802219796937,0.059040812747360255,0.05504769131104991,0.04557572605537938,0.04971092090601084,0.07062814000806537,0.07116337307742647,0.07954960079206946,0.06883955206651306,0.08033591980753059,0.08576086994785694,0.11957613228483102,0.16596576001490254,0.1642359185323246,0.1784417658501968,0.18783876910054678,0.23094099333690987,0.2645792514932042,0.21046093059862342,0.29878647395591185,0.1981918444494015,0.2394964482843532,0.2921746013568906,0.3288902883618186,0.2990798842256273,0.36297419161015293,0.25967216560409506,0.2605316092863592,0.21296700177570477,0.24979664660873757,0.23929638225218045,0.19998316733199245,0.16195978302071248,0.13709209554559343,0.1873280436083882,0.18342684390350636,0.22585021080573384,0.18466529826982334,0.22622042910223522,0.20790566279420927,0.2160176422976639,0.1881509810968886,0.13240601755269518,0.08264573139158861,0.06601340087104923,0.03959221366195698,0.03703829545055714,0.02876137531846776,0.020674444117405554,0.024364388153634314,0.030310700731961897,0.030018582763258528,0.036461651654668865,0.031236608543463745,0.030875800002398136,0.02982254910896783,0.02382699522506412,0.023784174579222134,0.02101705026274706,0.01776176237687328,0.018319967184625332,0.018533445917499804,0.021521775664205853,0.01842650689929004,0.016727923366390746,0.014840463276667543,0.01304968425454703,0.012914455005471412,0.014610577837351443,0.012018047538355368,0.012308152027763204,0.012024660240016243,0.012511720539341522,0.01016777125519704,0.014888036652623423,300.0
23.5,4.798005374640677,0.013010037746330196,0.01884985394707155,0.025378100025830713,0.02107177974357076,0.020655696737654265,0.01924707032206563,0.03580545517101898,0.05157649597231548,0.05112972987255581,0.04853865960551861,0.062015418495455825,0.07650011742351494,0.07544474331125596,0.0697320152910439,0.08891340471034104,0.05666609041797144,0.08857022243047677,0.12985517959792686,0.14057744033630945,0.15756892809495462,0.1873823112187916,0.18373979273587865,0.22746162779195608,0.2596318885615043,0.245773633171173,0.24150493322347288,0.21482156772198968,0.21682622039423516,0.24060952204808786,0.2774078760932323,0.2250671858878744,0.1769665439247425,0.1652106283341764,0.16284429501127187,0.16602144557048173,0.1570799739165232,0.1892293872608119,0.21519077024017677,0.1387228022515852,0.15664174124130903,0.12989316052324593,0.16128048634811284,0.1499719245792199,0.19116738639904418,0.19842112002768866,0.2130525038149853,0.18029592767845104,0.12840881258336675,0.07817983623231942,0.05992128748178111,0.04238461682395789,0.0348417776212807,0.023521566092249736,0.014150029183306101,0.02128088196182878,0.03920416552863638,0.023413301513241527,0.022458158837339433,0.019262043333369092,0.017223339213404593,0.020826936558498647,0.020848014032892027,0.024018968481443474,0.02133388502570304,0.02150611398662698,0.0143658299830432,0.018022265489072185,0.016156860560521208,0.01575866238289249,0.013338297688250648,0.013606244780163606,0.008666754281101106,0.01026758914517652,0.01026818286394874,0.009750427597216019,0.01112409207665769,0.009482140275397783,0.011322345163878074,0.008166423457469653,0.008240982519774235,250.0
24.0,4.590898010546168,0.014240709438491182,0.020886628310271462,0.022897129196181757,0.026487576526608922,0.022919262227788995,0.022427365523711596,0.03940097232705965,0.05764826927204548,0.05628636848514799,0.05752248835201381,0.057732482342036213,0.07346513307209664,0.08773140092957532,0.07509965817108376,0.07074137959160072,0.07200419628859302,0.09321432483844282,0.11723178074045795,0.16743948979550058,0.15761881855832802,0.2093097532176125,0.22306161483587544,0.2672620213413288,0.2460300933112833,0.23126918393005433,0.25938301407092523,0.23366331105966182,0.16414993796020733,0.20150460286173444,0.1804716891000125,0.1976839948435331,0.15652184858657284,0.13718777867872964,0.16255116881455256,0.19118407428159073,0.16489551980957834,0.17604900654639485,0.19396067721486365,0.23645734576536953,0.23530575114661043,0.14399338567336828,0.1715615587338221,0.14245991273512457,0.12663376073449814,0.17038323496672766,0.1523078187031996,0.11975420058359686,0.09742579175272974,0.059515793881345015,0.04053048610568412,0.026746987532728504,0.02465344445155329,0.01915404190295806,0.011201531586539444,0.021287532912144212,0.033554998661363536,0.028657912073420177,0.01987100636558281,0.0167627178036923,0.017923148220813305,0.014129542448531582,0.011844071778576175,0.017315619745985784,0.0157349877405698,0.014194042695044809,0.016428436870851333,0.01274084285701548,0.01389060579795664,0.010802575000236623,0.012875048550668823,0.01010652402281379,0.007551423581897526,0.008836638799589807,0.009850320471039535,0.01016025440471668,0.009507969417618237,0.01051228527870406,0.009354442527294326,0.009308171943593693,0.005735107469639593,200.0
22.0,3.8713524209677983,0.013636595688869765,0.016790615811827773,0.02240626489021316,0.022269994840127306,0.020865416513746043,0.025646111519640125,0.0397241962186662,0.05576861498063117,0.052794376404676116,0.05537309308554712,0.06231363765407212,0.07111654763674044,0.06319258450215351,0.07367906014272449,0.07020176283292746,0.07701700373364234,0.12366435157035331,0.14900556643050408,0.1458381389688449,0.1646500382576195,0.19646407699458499,0.20393917034384976,0.2277991802475742,0.23446852667898144,0.25197867819319203,0.1803047045321468,0.1858452691232247,0.14838813833102127,0.1717646154415309,0.11501318972396958,0.1067521904270254,0.09648494908153102,0.09168856644594323,0.10457648924374431,0.09565360677338629,0.1104559305118207,0.14231214529041258,0.0931131315090645,0.0813131611213822,0.08466301524109601,0.0901371993335705,0.150128559450776,0.16287322721718675,0.15169998011175895,0.1506017997568048,0.1895406696157617,0.11350951473076851,0.08520938193301474,0.04767539463142457,0.025530684176946934,0.020333249028267986,0.018006905182590495,0.01488312034133749,0.01066012139766111,0.014780280164969994,0.015738164854247443,0.015255507985211417,0.017792078313715144,0.013867866187013295,0.01291993283392342,0.010366226447635114,0.011175319743253188,0.01165706200989948,0.008162290683431168,0.01263524240366862,0.011881644701282773,0.014101306606342056,0.013258580784583435,0.009569638959837083,0.008338263942755237,0.009922865438495547,0.008705456310538522,0.007035646366452152,0.006552659412224466,0.006129043433777768,0.006487310375567195,0.00523143595505961,0.00591341510827075,0.0067787159498441055,0.005594178786602771,150.0
16.0,4.21376424515992,0.010472925726821247,0.01190140810721874,0.014091754917058106,0.014330178631974944,0.020518070847968545,0.02526008066217687,0.030902407279205023,0.032340559097010356,0.03438813661770081,0.03770894745850147,0.044283716027025515,0.042913164836053584,0.053949270853912684,0.05102783280839682,0.05722200141937719,0.052972142808542524,0.07148224404763714,0.08086246090395043,0.091994645340475,0.11288018354013107,0.11174701077166901,0.10865159606789802,0.1523494456150314,0.12791216468192804,0.13301649012904848,0.1531546976443218,0.21662366032507277,0.18742853609210083,0.1959325587307858,0.21815425302659572,0.2244822141358429,0.21798875225780073,0.16819301456645475,0.1349178361867345,0.15392670068358535,0.11836034796758385,0.12659167464281268,0.11542394384475617,0.0984749747636626,0.08755306803246406,0.10527904467431472,0.120430526083345,0.12253693523216651,0.11538728966222236,0.11097119093285557,0.10924080282966227,0.13229742270812062,0.11506401272915977,0.07526767231915171,0.050595311021142717,0.0448156919406509,0.016863920764028255,0.013332340270154392,0.00933520702626584,0.016238091140458995,0.024367956128037733,0.024043495450248656,0.019887394298984666,0.01631136126138143,0.019828982290861302,0.018165099352027623,0.01754301408445844,0.015892974704994522,0.012974370059935994,0.012134636665668346,0.013765770578410387,0.012988015093819177,0.01401164451177234,0.013948318402096,0.012836224120224258,0.011117438687388488,0.008066644944887189,0.007383649835675903,0.006350404864372417,0.005704241191442773,0.006896701080624097,0.008277186135697317,0.007520427070248787,0.006547359329174931,0.0054928405473966355,300.0
12.5,3.786002625481833,0.010931473007665156,0.015072731498148587,0.01613696751920047,0.012251369822387585,0.019865584276380112,0.0321275710058749,0.030140734236088762,0.03150197201583612,0.03089560969453079,0.03742921154926912,0.04316178691088023,0.04559205927381849,0.03958960847056664,0.04729750933743961,0.05493825448988936,0.0644479086345837,0.06306131715995052,0.08723889844570971,0.09933517576440368,0.09572210037312,0.10478339509046883,0.13382740046111075,0.13077836558293138,0.19061418392324042,0.160524356321132,0.14840963790098935,0.1627045919505813,0.2104990870192415,0.17462941167595736,0.2068391611408464,0.18864236232098686,0.1551734837404166,0.10666402969539003,0.10871032258687759,0.10943779538044797,0.10861202734356958,0.09300672206230262,0.08283414045136984,0.08272544008192571,0.0742338408062174,0.09383312436143942,0.09518897827066905,0.11951035333963203,0.14483838831829643,0.12750651909129213,0.13748547346573137,0.14722497132869694,0.11998731464244816,0.06914990666014353,0.041013403262339425,0.02429631859762836,0.014202517113339011,0.012395764098448137,0.009639463684688689,0.015276970394861578,0.015629826022292653,0.01850533350952176,0.015629240794563362,0.019746455880461432,0.015127548117666034,0.01138964489456985,0.012000380253394357,0.010885110299266034,0.011553007475706088,0.010208876612803881,0.011209170037703334,0.01066241198439385,0.011546357303596056,0.012752134973144102,0.010767952814337529,0.00933333987083176,0.007532272304261528,0.006095778543598554,0.006670136965977185,0.005054456580114068,0.005559612630778239,0.005107105460191742,0.0045654884339944015,0.0038717754763308403,0.004019156306204086,250.0
11.0,3.020813490730558,0.009553749548725487,0.012950337514804816,0.01453252954135159,0.012813172021479155,0.019829129372219048,0.030270298051224366,0.030797442494476076,0.03070245460182194,0.03032358414907184,0.03772631354806182,0.032140947359343114,0.03685316182861202,0.04492358542678091,0.047373429066593004,0.05265241276753323,0.04697461511519588,0.07144379556092509,0.0824573657379448,0.07159276336257778,0.08321423546233929,0.1057396644850443,0.12122773538476005,0.10087282230535344,0.14306083442179418,0.1246023293511217,0.1559899056330191,0.19054328687146455,0.15144426438255104,0.12073866912020416,0.11623022976673825,0.09572077709781357,0.0932729252624719,0.07201915006413251,0.09378636662075074,0.06801877716182944,0.08483204064591597,0.06270923957598513,0.058708791264799776,0.05947667573832853,0.060119881999304015,0.07695096248124188,0.08204048268170762,0.07464761865988435,0.10074668226995193,0.09947645661001611,0.09624401049387225,0.07396446865303172,0.060425305975339766,0.03553919786362006,0.025428360892227754,0.016871508166282013,0.015129583863077837,0.012975347463175076,0.0083471784587401,0.009508281754902531,0.010528856250837696,0.012845037001785263,0.012114182713646735,0.010918933942797986,0.010734135182889985,0.009043327221314944,0.006797632777131633,0.010062018984736264,0.008202699919628714,0.009533517727502595,0.010283340052545121,0.009266078283431557,0.00903984866443604,0.007819241223051693,0.0064797282505595286,0.005840854588858353,0.004860001357859911,0.004556328075742999,0.004572617295707837,0.004819560533263451,0.003540562685737181,0.0042529885373717375,0.0031888302466107424,0.0030069256806752958,0.003748681383426136,200.0
14.0,2.8581743781933984,0.01019892650307556,0.013710592534799854,0.013713439963249108,0.010661972633691851,0.023163563975169752,0.03642808970522635,0.03158925801240695,0.027448676252681797,0.024995263373359628,0.027143598707054278,0.03175585829636575,0.04002458421108353,0.04297257085266056,0.05495617169709937,0.045182633537273816,0.059770554604790846,0.06793731010414981,0.07594000066055369,0.09650462624932803,0.11658053328126369,0.14359330157860686,0.1269001292098348,0.1290103864582943,0.15436194645928183,0.16507313667136486,0.16638821372283993,0.12097349298660538,0.09199911335606434,0.07364515431105702,0.07646186753539824,0.06179712694752784,0.06417530880709894,0.07470908568222173,0.06500305890837543,0.05592623625116483,0.05165194157774924,0.052771742651227395,0.04588379261288398,0.05008775435528333,0.05705175030036176,0.07185446559760075,0.08282284345994531,0.0797816290250926,0.09177747442718583,0.10243571594462754,0.0933762481600334,0.0668151380936078,0.05248560799728043,0.03464201898569556,0.024622554428913482,0.018424333264041512,0.014290374618066374,0.009579107773037162,0.008451959121873543,0.010267516886170027,0.012351692392038855,0.013115067269717524,0.010626117272898942,0.01075261907895782,0.0076239721939713396,0.009442295093399354,0.007743540801066319,0.007528616188067979,0.007482253114745425,0.009411710331608418,0.01085559164020883,0.010658958302250197,0.00943208285845849,0.009221311557390659,0.0067914459285639646,0.006007655441080928,0.006100431865045779,0.0055628412300297485,0.004666505117960627,0.004597848542502721,0.0038242497553425303,0.0042804864688880786,0.0037301571081147364,0.0032483681938796105,0.0035285394712860326,150.0
19.0,3.627063373859042,0.012435587794041629,0.01711774411211732,0.020599528582156506,0.02358829059546961,0.025807990144772478,0.033107258294800275,0.04370530296259956,0.04578371214229141,0.04741801402596964,0.050486398308665914,0.045354193654726115,0.03975036368117362,0.04194188227250886,0.0520636525995716,0.05778854306068943,0.06513991302986094,0.06284521563920833,0.0863883607204043,0.0861905289886656,0.10143911861527818,0.10189151062355827,0.11483038870649476,0.11532094544039329,0.10994958061058177,0.11987660205447766,0.096852197378812,0.16692314063160665,0.10861515278800263,0.1242692787367439,0.12911787741985598,0.14710221436259802,0.18288691768314386,0.15002296733193776,0.12711868042818497,0.14318638667382205,0.15742811973882873,0.1297479395163029,0.1596239773307722,0.1656663590068841,0.16038837848756288,0.1360327621202683,0.13142013211591755,0.13422045099010066,0.13600168734310963,0.14998614666082732,0.12260326638969023,0.13276224748515345,0.10762959564659086,0.07247090033331756,0.058969860248871166,0.03915804495377836,0.023485188162834802,0.01889035129669149,0.010903733974551634,0.01880591073958306,0.02824746101377192,0.02616337170711687,0.02558566651504207,0.030564618892677083,0.025459031371834185,0.025410783363029998,0.025738765324065337,0.018254549497105605,0.027493873846909964,0.017307640204489678,0.015537853966700824,0.014486417287258241,0.014420099092019838,0.014922017357588902,0.01638072080847962,0.01147391737710936,0.01057040273932719,0.009471968519414562,0.008830821678646178,0.007003659744247859,0.007631275728001469,0.0078042670344074475,0.009106112772176425,0.007310837283526187,0.008367967386329046,300.0
17.5,3.4963749392837786,0.010895553234069705,0.015274970385686567,0.017657894367503195,0.019522928309235035,0.024158214619860518,0.03973632768962013,0.04597302110998858,0.04542448492037786,0.03785709442538832,0.04422178641380675,0.046895413578597084,0.05342210032695863,0.04513351159066186,0.05613968508447995,0.06029656522969997,0.07213137533130129,0.06438085549756019,0.08784147534122873,0.08190254401563433,0.09775185492907089,0.09457555767820684,0.10855185258631168,0.13143538621574194,0.114201854454537,0.09732566076472224,0.12239129029755912,0.12211818698447494,0.14074232189422775,0.1384543534502324,0.15437267364954582,0.1411956347489636,0.15631000369528691,0.1434389235943461,0.1395561582364947,0.14600444668264279,0.1277077368776265,0.2112824835847472,0.16908741795703278,0.14115093196846365,0.11674972754701052,0.11642787467686477,0.1105334671538229,0.10394668959245976,0.15433947820562918,0.13581553398780544,0.1072928568973546,0.10429942244669269,0.0798103796733636,0.05890494041411385,0.05147983875386016,0.03234786767842714,0.01997677048408138,0.016109411810072843,0.014370377667881323,0.019450079887023315,0.02714580777515028,0.022701214448476253,0.022559333945518203,0.020513966431327944,0.01946524175054115,0.01630916862111622,0.015610966614985471,0.015460079271437534,0.013504394867450127,0.013305183844081322,0.014577757558232169,0.015281917638103567,0.014398700849923179,0.015230137510577266,0.011100064207546764,0.012238020116933819,0.009196128491517602,0.008374524540823585,0.0075239482609766005,0.006276113623529268,0.00644021879141362,0.0057157373926645695,0.0049954654800031745,0.0051807165022299245,0.006568678912002067,250.0
